rev_cd|rev_typ_desc|rev_catg_desc|rev_subcatg_desc|rev_short_desc
0444|ANCILLARY SERVICES|SPEECH-LANGUAGE PATHOLOGY|EVALUATION OR RE-EVALUATION|SPEECH PATH/EVAL
0131|ACCOMMODATION CODES|ROOM & BOARD - SEMI-PRIVATE - THREE AND FOUR BEDS (MEDICAL OR GENERAL)|MEDICAL/SURGICAL/GYN|MED-SUR-GY/3&4 BED
0190|ACCOMMODATION CODES|SUBACUTE CARE|GENERAL CLASSIFICATION|SUBACUTE
0200|ACCOMMODATION CODES|INTENSIVE CARE|GENERAL CLASSIFICATION|INTENSIVE CARE OR (ICU)
0559|ANCILLARY SERVICES|SKILLED NURSING|OTHER SKILLED NURSING|SKILLED NURS/OTHER
0601|ANCILLARY SERVICES|HOME HEALTH - OXYGEN|OXYGEN - STATE/EQUIP/SUPPLY OR CONTENTS|02/EQUIP/SUPPL/CONT
0650|ANCILLARY SERVICES|HOSPICE SERVICES|GENERAL CLASSIFICATION|HOSPICE
0561|ANCILLARY SERVICES|MEDICAL SOCIAL SERVICES|VISIT CHARGE|MED SOC SERV/VISIT
0850|ANCILLARY SERVICES|CONTINUOUS CYCLING PERITONEAL DIALYSIS (CCPD) -OUTPATIENT OR HOME|GENERAL CLASSIFICATION|CCPD/OP OR HOME
0833|ANCILLARY SERVICES|PERITONEAL DIALYSIS - OUTPATIENT OR HOME|HOME EQUIPMENT|PERTNL/HOME/EQUIP
0360|ANCILLARY SERVICES|OPERATING ROOM SERVICES|GENERAL CLASSIFICATION|OR SERVICES
0961|ANCILLARY SERVICES|PROFESSIONAL FEES|PSYCHIATRIC|PRO FEE/PSYCH
0963|ANCILLARY SERVICES|PROFESSIONAL FEES|ANESTHESIOLOGIST (MD)|PRO FEE/ANES MD
0859|ANCILLARY SERVICES|CONTINUOUS CYCLING PERITONEAL DIALYSIS (CCPD) -OUTPATIENT OR HOME|OTHER CCPD DIALYSIS|CCPD/HOME/OTHER
0720|ANCILLARY SERVICES|LABOR ROOM/DELIVERY|GENERAL CLASSIFICATION|DELIVROOM/LABOR
0155|ACCOMMODATION CODES|ROOM & BOARD WARD (MEDICAL OR GENERAL)|HOSPICE|HOSPICE/WARD
0145|ACCOMMODATION CODES|ROOM & BOARD - PRIVATE (DELUXE) (MEDICAL OR GENERAL)|HOSPICE|HOSPICE/PVT/DLX
1003|ANCILLARY SERVICES|BEHAVIORAL HEALTH ACCOMMODATIONS|SUPERVISED LIVING|BH R&B SUP LIVING
0335|ANCILLARY SERVICES|RADIOLOGY -THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION|CHEMOTHERAPY - IV|CHEMOTHERP-IV
0152|ACCOMMODATION CODES|ROOM & BOARD WARD (MEDICAL OR GENERAL)|OB|OB/WARD
0679|ANCILLARY SERVICES|OUTPATIENT SPECIAL RESIDENCE CHARGES|OTHER SPECIAL RESIDENCE CHARGES|OP SPEC RES/OTHER
0951|ANCILLARY SERVICES|OTHER THERAPEUTIC SERVICES-EXTENSION OF 094X|ATHLETIC TRAINING|ATHLETIC TRAINING
0399|ANCILLARY SERVICES|BLOOD AND BLOOD  COMPONENT ADMINISTRATION, PROCESSING AND STORAGE|OTHER PROCESSING & STORAGE|BLOOD/OTHER STOR
1001|ANCILLARY SERVICES|BEHAVIORAL HEALTH ACCOMMODATIONS|RESIDENTIAL TREATMENT - PSYCHIATRIC|BH R&B RES/PSYCH
0340|ANCILLARY SERVICES|NUCLEAR MEDICINE|GENERAL CLASSIFICATION|NUCLEAR MEDICINE OR (NUC MED)
0845|ANCILLARY SERVICES|CONTINUOUS AMBULATORY PERITONEAL DIALYSIS (CAPD) - OUTPATIENT OR HOME|SUPPORT SERVICES|CAPD/HOME/SUPSERV
0252|ANCILLARY SERVICES|PHARMACY|NONGENERIC DRUGS|DRUGS/NONGENERIC
0983|ANCILLARY SERVICES|PROFESSIONAL FEES - EXTENSION OF 096X & 097X|CLINIC|PRO FEE/CLINIC
0982|ANCILLARY SERVICES|PROFESSIONAL FEES - EXTENSION OF 096X & 097X|OUTPATIENT SERVICES|PRO FEE/OUTPT
0133|ACCOMMODATION CODES|ROOM & BOARD - SEMI-PRIVATE - THREE AND FOUR BEDS (MEDICAL OR GENERAL)|PEDIATRIC|PEDS/3&4BED
0684|ANCILLARY SERVICES|TRAUMA RESPONSE|LEVEL IV|TRAUMA LEVEL IV
0181|ACCOMMODATION CODES|LEAVE OF ABSENCE|RESERVED|
0370|ANCILLARY SERVICES|ANESTHESIA|GENERAL CLASSIFICATION|ANESTHESIA
0307|ANCILLARY SERVICES|LABORATORY|UROLOGY|LAB/UROLOGY
0123|ACCOMMODATION CODES|ROOM & BOARD - SEMI-PRIVATE TWO BEDS (MEDICAL OR GENERAL)|PEDIATRIC|PEDS/2BED
0803|ANCILLARY SERVICES|INPATIENT RENAL DIALYSIS|INPATIENT CONTINUOUS AMBULATORY PERITONEAL DIALYSIS (CAPD)|DIALY/INPT/CAPD
0571|ANCILLARY SERVICES|HOME HEALTH-HOME HEALTH AIDE|VISIT CHARGE|AIDE/HOME HLTH/VISIT
0208|ACCOMMODATION CODES|INTENSIVE CARE|TRAUMA|ICU/TRAMA
0973|ANCILLARY SERVICES|PROFESSIONAL FEES - EXTENSION OF 096X|RADIOLOGY - THERAPEUTIC|PRO FEE/RAD/RX
0832|ANCILLARY SERVICES|PERITONEAL DIALYSIS - OUTPATIENT OR HOME|HOME SUPPLIES|PERTNL/HOME/SUPPL
0919|ANCILLARY SERVICES|BEHAVIORAL HEALTH TREATMENT/SERVICES-EXTENSION OF 090X|OTHER BEHAVIOR HEALTH|BH/OTHER
0232|ANCILLARY SERVICES|INCREMENTAL NURSING CHARGE RATE|OB|NUR INCR/OB
0641|ANCILLARY SERVICES|HOME IV THERAPY SERVICES|NONROUTINE NURSING, CENTRAL LINE|NON RT NURSING/CENTRAL
0403|ANCILLARY SERVICES|OTHER IMAGING SERVICES|SCREENING MAMMOGRAPHY|SCR MAMMOGRAPHY/GEN MAMMO
0341|ANCILLARY SERVICES|NUCLEAR MEDICINE|NUCLEAR MEDICINE DIAGNOSTIC PROCEDURES|NUC MED/DX
0530|ANCILLARY SERVICES|OSTEOPATHIC SERVICES|GENERAL CLASSIFICATION|OSTEOPATH SVS
0562|ANCILLARY SERVICES|MEDICAL SOCIAL SERVICES|HOURLY CHARGE|MED SOC SERV/HOUR
0352|ANCILLARY SERVICES|COMPUTED TOMOGRAPHIC (CT) SCAN|BODY SCAN|CT SCAN/BODY
0582|ANCILLARY SERVICES|HOME HEALTH -OTHER VISITS|HOURLY CHARGE|HH-OTH VIS/HOUR
0657|ANCILLARY SERVICES|HOSPICE SERVICES|PHYSICIAN SERVICES|HOSPICE/PHYSICIAN
0547|ANCILLARY SERVICES|AMBULANCE|PHARMACY|AMBUL/PHARMACY
0672|ANCILLARY SERVICES|OUTPATIENT SPECIAL RESIDENCE CHARGES|CONTRACTED|OP SPEC RES/CONTRACTED
0136|ACCOMMODATION CODES|ROOM & BOARD - SEMI-PRIVATE - THREE AND FOUR BEDS (MEDICAL OR GENERAL)|DETOXIFICATION|DETOX/3&4BED
2109|ANCILLARY SERVICES|ALTERNATIVE THERAPY SERVICES|OTHER ALTERNATIVE THERAPY SERVICES|OTHER ALTTHERAPY
0130|ACCOMMODATION CODES|ROOM & BOARD - SEMI-PRIVATE - THREE AND FOUR BEDS (MEDICAL OR GENERAL)|GENERAL CLASSIFICATION|ROOM-BOARD/3&4 BED
0144|ACCOMMODATION CODES|ROOM & BOARD - PRIVATE (DELUXE) (MEDICAL OR GENERAL)|PSYCHIATRIC|PSYCH/PVT/DLX
0332|ANCILLARY SERVICES|RADIOLOGY -THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION|CHEMOTHERAPY - ORAL|CHEMOTHER/ORAL
0648|ANCILLARY SERVICES|HOME IV THERAPY SERVICES|TRAINING, DISABLED PATIENT, PERIPHERAL LINE|TRNG/DSBLPAT/PERIPHRL
0947|ANCILLARY SERVICES|OTHER THERAPEUTIC SERVICES (ALSO SEE 095X, AN EXTENSION OF 094X)|COMPLEX MEDICAL EQUIPMENT ANCILLARY|COMPLX MED EQUIP-ANC
0811|ANCILLARY SERVICES|ACQUISITION OF BODY COMPONENTS|LIVING DONOR|LIVING/DONOR
0916|ANCILLARY SERVICES|BEHAVIORAL HEALTH TREATMENT/SERVICES-EXTENSION OF 090X|FAMILY THERAPY|BH/FAMILY RX
0139|ACCOMMODATION CODES|ROOM & BOARD - SEMI-PRIVATE - THREE AND FOUR BEDS (MEDICAL OR GENERAL)|OTHER|OTHER/3&4BED
0124|ACCOMMODATION CODES|ROOM & BOARD - SEMI-PRIVATE TWO BEDS (MEDICAL OR GENERAL)|PSYCHIATRIC|PSTAY/2BED
0800|ANCILLARY SERVICES|INPATIENT RENAL DIALYSIS|GENERAL CLASSIFICATION|RENAL DIALYSIS
0661|ANCILLARY SERVICES|RESPITE CARE|HOURLY CHARGE/ NURSING|RESPITE/NURSE
0637|ANCILLARY SERVICES|PHARMACY - EXTENSION OF 025X|SELF-ADMINISTRABLE DRUGS|DRUGS/SELFADMIN
0430|ANCILLARY SERVICES|OCCUPATIONAL THERAPY|GENERAL CLASSIFICATION|OCCUPATION THER
0259|ANCILLARY SERVICES|PHARMACY|OTHER PHARMACY|DRUGS/OTHER
0670|ANCILLARY SERVICES|OUTPATIENT SPECIAL RESIDENCE CHARGES|GENERAL CLASSIFICATION|OP SPEC RES
0654|ANCILLARY SERVICES|HOSPICE SERVICES|RESERVED|
0258|ANCILLARY SERVICES|PHARMACY|IV SOLUTIONS|IV SOLUTIONS
0305|ANCILLARY SERVICES|LABORATORY|HEMATOLOGY|LAB/HEMATOLOGY
0201|ACCOMMODATION CODES|INTENSIVE CARE|SURGICAL|ICU/SURGICAL
0167|ACCOMMODATION CODES|ROOM & BOARD - OTHER|SELF CARE|R&B/SELF
0953|ANCILLARY SERVICES|OTHER THERAPEUTIC SERVICES-EXTENSION OF 094X|CHEMICAL DEPENDENCY (DRUG AND ALCOHOL)|CHEM DEP
0651|ANCILLARY SERVICES|HOSPICE SERVICES|ROUTINE HOME CARE|HOSPICE/RTN HOME
0619|ANCILLARY SERVICES|MAGNETIC RESONANCE TECHNOLOGY (MRT)|MRT- OTHER|MRT - OTHER
0443|ANCILLARY SERVICES|SPEECH-LANGUAGE PATHOLOGY|GROUP RATE|SPEECH PATH/GROUP
0780|ANCILLARY SERVICES|TELEMEDICINE|GENERAL CLASSIFICATION|TELEMEDICINE
3104|ANCILLARY SERVICES|ADULT CARE|ADULT DAY CARE, SOCIAL - DAILY|ADULT SOC DAY
0421|ANCILLARY SERVICES|PHYSICAL THERAPY|VISIT CHARGE|PHYS THERP/VISIT
0723|ANCILLARY SERVICES|LABOR ROOM/DELIVERY|CIRCUMCISION|CIRCUMCISION
0180|ACCOMMODATION CODES|LEAVE OF ABSENCE|GENERAL CLASSIFICATION|LEAVE OF ABSENCE OR LOA
0647|ANCILLARY SERVICES|HOME IV THERAPY SERVICES|TRAINING PATIENT/CAREGIVER, PERIPHERAL LINE|TRNG/PT/CARGVR/PERIPHRL
0359|ANCILLARY SERVICES|COMPUTED TOMOGRAPHIC (CT) SCAN|OTHER CT SCANS|CT SCAN/OTHER
0915|ANCILLARY SERVICES|BEHAVIORAL HEALTH TREATMENT/SERVICES-EXTENSION OF 090X|GROUP THERAPY|BH/GROUP RX
0881|ANCILLARY SERVICES|MISCELLANEOUS DIALYSIS|ULTRAFILTRATION|DIALY/ULTRAFILT
0633|ANCILLARY SERVICES|PHARMACY - EXTENSION OF 025X|RESTRICTIVE PRESCRIPTION|DRUG/RSTR
3100|ANCILLARY SERVICES|ADULT CARE|NOT USED|
0940|ANCILLARY SERVICES|OTHER THERAPEUTIC SERVICES (ALSO SEE 095X, AN EXTENSION OF 094X)|GENERAL CLASSIFICATION|OTHER RX SVS
0361|ANCILLARY SERVICES|OPERATING ROOM SERVICES|MINOR SURGERY|OR/MINOR
0419|ANCILLARY SERVICES|RESPIRATORY SERVICES|OTHER RESPIRATORY SERVICES|OTHER RESPIR SVS
0531|ANCILLARY SERVICES|OSTEOPATHIC SERVICES|OSTEOPATHIC THERAPY|OSTEOPATH RX
0729|ANCILLARY SERVICES|LABOR ROOM/DELIVERY|OTHER LABOR ROOM/DELIVERY|OTHER/DELIV-LABOR
0125|ACCOMMODATION CODES|ROOM & BOARD - SEMI-PRIVATE TWO BEDS (MEDICAL OR GENERAL)|HOSPICE|HOSPICE/2BED
0116|ACCOMMODATION CODES|ROOM & BOARD - PRIVATE (MEDICAL OR GENERAL)|DETOXIFICATION|DETOX/PVT
0111|ACCOMMODATION CODES|ROOM & BOARD - PRIVATE (MEDICAL OR GENERAL)|MEDICAL/SURGICAL/GYN|MED-SUR-GY/PVT
0683|ANCILLARY SERVICES|TRAUMA RESPONSE|LEVEL III|TRAUMA LEVEL III
0234|ANCILLARY SERVICES|INCREMENTAL NURSING CHARGE RATE|CCU (INCLUDES TRANSITIONAL CARE)|NUR INCR/CCU
0840|ANCILLARY SERVICES|CONTINUOUS AMBULATORY PERITONEAL DIALYSIS (CAPD) - OUTPATIENT OR HOME|GENERAL CLASSIFICATION|CAPD/OP OR HOME
0129|ACCOMMODATION CODES|ROOM & BOARD - SEMI-PRIVATE TWO BEDS (MEDICAL OR GENERAL)|OTHER|OTHER/2BED
0624|ANCILLARY SERVICES|MEDICAL/SURGICAL SUPPLIES - EXTENSION OF 027X|FDA INVESTIGATIONAL DEVICES|FDA INVEST DEVICE
0174|ACCOMMODATION CODES|NURSERY|NEWBORN - LEVEL IV|NURSERY/LEVEL IV
0976|ANCILLARY SERVICES|PROFESSIONAL FEES - EXTENSION OF 096X|RESPIRATORY THERAPY|PRO FEE/RESPIR
0523|ANCILLARY SERVICES|FREE-STANDING CLINIC|FAMILY PRACTICE CLINIC|FR/STD FAMILY CLINIC
0519|ANCILLARY SERVICES|CLINIC|OTHER CLINIC|OTHER CLINIC
0148|ACCOMMODATION CODES|ROOM & BOARD - PRIVATE (DELUXE) (MEDICAL OR GENERAL)|REHABILITATION|REHAB/PVT/DLX
0694|ANCILLARY SERVICES|PRE-HOSPICE/PALLIATIVE CARE SERVICES|CONSULTATION AND EDUCATION|PREHOSPICE/CONS&ED
0921|ANCILLARY SERVICES|OTHER DIAGNOSTIC SERVICES|PERIPHERAL VASCULAR LAB|PERI VASCUL LAB
0134|ACCOMMODATION CODES|ROOM & BOARD - SEMI-PRIVATE - THREE AND FOUR BEDS (MEDICAL OR GENERAL)|PSYCHIATRIC|PSYCH/3&4BED
0656|ANCILLARY SERVICES|HOSPICE SERVICES|GENERAL INPATIENT CARE (NONRESPITE)|HOSPICE/IP NON RESPITE
0191|ACCOMMODATION CODES|SUBACUTE CARE|SUBACUTE CARE - LEVEL I|SUBACUTE/LEVEL I
0384|ANCILLARY SERVICES|BLOOD|PLATELETS|BLOOD/PLATELETS
0861|ANCILLARY SERVICES|MAGNETOENCEPHALOGRAPHY (MEG)|MEG|MEG/MEG
0312|ANCILLARY SERVICES|LABORATORY PATHOLOGICAL|HISTOLOGY|PATHOL/HYSTOL
0610|ANCILLARY SERVICES|MAGNETIC RESONANCE TECHNOLOGY (MRT)|GENERAL CLASSIFICATION|MRT
0769|ANCILLARY SERVICES|SPECIALTY SERVICES|OTHER SPECIALTY SERVICES|OTHER SPECIALTY SVC
0539|ANCILLARY SERVICES|OSTEOPATHIC SERVICES|OTHER OSTEOPATHIC SERVICES|OTHER OSTEOPATH
0917|ANCILLARY SERVICES|BEHAVIORAL HEALTH TREATMENT/SERVICES-EXTENSION OF 090X|BIO FEEDBACK|BH/BIOFEED
0699|ANCILLARY SERVICES|PRE-HOSPICE/PALLIATIVE CARE SERVICES|OTHER PRE-HOSPICE/PALLIATIVE|PREHOSPICE/OTHER
0343|ANCILLARY SERVICES|NUCLEAR MEDICINE|DIAGNOSTIC RADIOPHARMACEUTICALS|NUC MED/DX RADIOPHARM
0813|ANCILLARY SERVICES|ACQUISITION OF BODY COMPONENTS|UNKNOWN DONOR|UNKNOWN/DONOR
1006|ANCILLARY SERVICES|BEHAVIORAL HEALTH ACCOMMODATIONS|OUTDOOR/WILDERNESS|BH R&B OUTDR/WLDNSS
0202|ACCOMMODATION CODES|INTENSIVE CARE|MEDICAL|ICU/MEDICAL
0127|ACCOMMODATION CODES|ROOM & BOARD - SEMI-PRIVATE TWO BEDS (MEDICAL OR GENERAL)|ONCOLOGY|ONCOLOGY/2BED
0691|ANCILLARY SERVICES|PRE-HOSPICE/PALLIATIVE CARE SERVICES|VISIT CHARGE|PREHOSPICE/VISIT
0621|ANCILLARY SERVICES|MEDICAL/SURGICAL SUPPLIES - EXTENSION OF 027X|SUPPLIES INCIDENT TO RADIOLOGY|MED-SUR SUPP/INCIDNT RAD
0623|ANCILLARY SERVICES|MEDICAL/SURGICAL SUPPLIES - EXTENSION OF 027X|SURGICAL DRESSINGS|SURG DRESSING
0696|ANCILLARY SERVICES|PRE-HOSPICE/PALLIATIVE CARE SERVICES|PHYSICIAN SERVICES|PREHOSPICE/PHYSICIAN
0984|ANCILLARY SERVICES|PROFESSIONAL FEES - EXTENSION OF 096X & 097X|MEDICAL SOCIAL SERVICES|PRO FEE/SOC SVC
0185|ACCOMMODATION CODES|LEAVE OF ABSENCE|HOSPITALIZATION|LOA/HOSPITALIZATION
0617|ANCILLARY SERVICES|MAGNETIC RESONANCE TECHNOLOGY (MRT)|RESERVED|
0262|ANCILLARY SERVICES|IV THERAPY|IV THERAPY/PHARMACY SERVICES|IV THER/PHARM/SVC
0853|ANCILLARY SERVICES|CONTINUOUS CYCLING PERITONEAL DIALYSIS (CCPD) -OUTPATIENT OR HOME|HOME EQUIPMENT|CCPD/HOME/EQUIP
0820|ANCILLARY SERVICES|HEMODIALYSIS - OUTPATIENT OR HOME|GENERAL CLASSIFICATION|HEMO/OP OR HOME
0147|ACCOMMODATION CODES|ROOM & BOARD - PRIVATE (DELUXE) (MEDICAL OR GENERAL)|ONCOLOGY|ONCOLOGY/PVT/DLX
0854|ANCILLARY SERVICES|CONTINUOUS CYCLING PERITONEAL DIALYSIS (CCPD) -OUTPATIENT OR HOME|MAINTANENCE 100%|CCPD/HOME/100%
0860|ANCILLARY SERVICES|MAGNETOENCEPHALOGRAPHY (MEG)|GENERAL CLASSIFICATION|MEG
0771|ANCILLARY SERVICES|PREVENTATIVE CARE SERVICES|VACCINE ADMINISTRATION|VACCINE ADMIN
0760|ANCILLARY SERVICES|SPECIALTY SERVICES|GENERAL CLASSIFICATION|SPECIALTY SVC
0331|ANCILLARY SERVICES|RADIOLOGY -THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION|CHEMOTHERAPY - INJECTED|CHEMOTHER/INJ
0439|ANCILLARY SERVICES|OCCUPATIONAL THERAPY|OTHER OCCUPATIONAL THERAPY (MAY INCLUDE RESTORATIVE THERAPY)|OTHER OCCUP THER
0613|ANCILLARY SERVICES|MAGNETIC RESONANCE TECHNOLOGY (MRT)|RESERVED|
0120|ACCOMMODATION CODES|ROOM & BOARD - SEMI-PRIVATE TWO BEDS (MEDICAL OR GENERAL)|GENERAL CLASSIFICATION|ROOM-BOARD/SEMI
0689|ANCILLARY SERVICES|TRAUMA RESPONSE|OTHER TRAUMA RESPONSE|TRAUMA OTHER
0121|ACCOMMODATION CODES|ROOM & BOARD - SEMI-PRIVATE TWO BEDS (MEDICAL OR GENERAL)|MEDICAL/SURGICAL/GYN|MED-SUR-GY/2BED
2101|ANCILLARY SERVICES|ALTERNATIVE THERAPY SERVICES|ACUPUNCTURE|ACUPUNCTURE
0801|ANCILLARY SERVICES|INPATIENT RENAL DIALYSIS|INPATIENT HEMODIALYSIS|DIALY/INPT
0825|ANCILLARY SERVICES|HEMODIALYSIS - OUTPATIENT OR HOME|SUPPORT SERVICES|HEMO/HOME/SUPSERV
0263|ANCILLARY SERVICES|IV THERAPY|IV THERAPY/DRUG/SUPPLY/DELIVERY|IV THER/DRUG/SUPPLY DELV
0329|ANCILLARY SERVICES|RADIOLOGY - DIAGNOSTIC|OTHER|DX X-RAY/OTHER
0511|ANCILLARY SERVICES|CLINIC|CHRONIC PAIN CENTER|CHRONIC PAIN CL
0662|ANCILLARY SERVICES|RESPITE CARE|HOURLY CHARGE/AIDE/HOMEMAKER/COMPANION|RESPITE/AID/HMEMKE/COMP
2105|ANCILLARY SERVICES|ALTERNATIVE THERAPY SERVICES|BIOFEEDBACK|BIOFEEDBACK
0171|ACCOMMODATION CODES|NURSERY|NEWBORN - LEVEL I|NURSERY/LEVEL I
0995|ANCILLARY SERVICES|PATIENT CONVENIENCE ITEMS|NONPATIENT ROOM RENTALS|NONPT ROOM RENT
3102|ANCILLARY SERVICES|ADULT CARE|ADULT DAY CARE, SOCIAL - HOURLY|ADULT SOC HR
0710|ANCILLARY SERVICES|RECOVERY ROOM|GENERAL CLASSIFICATION|RECOVERY ROOM
0849|ANCILLARY SERVICES|CONTINUOUS AMBULATORY PERITONEAL DIALYSIS (CAPD) - OUTPATIENT|OTHER CAPD DIALYSIS|CAPD/HOME/OTHER
0631|ANCILLARY SERVICES|PHARMACY - EXTENSION OF 025X|SINGLE SOURCE DRUG|DRUG/SNGLE
0645|ANCILLARY SERVICES|HOME IV THERAPY SERVICES|TRAINING PATIENT/CAREGIVER, CENTRAL LINE|TRNG/PT/CARGVR/CENTRAL
0923|ANCILLARY SERVICES|OTHER DIAGNOSTIC SERVICES|PAP SMEAR|PAP SMEAR
0521|ANCILLARY SERVICES|FREE-STANDING CLINIC|CLINIC VISIT BY MEMBER TO RHC/FQHC|RHC/FQHC/CLINIC
0451|ANCILLARY SERVICES|EMERGENCY ROOM|EMTALA EMERGENCY MEDICAL SCREENING SERVICES|ER/EMTALA
0374|ANCILLARY SERVICES|ANESTHESIA|ACUPUNCTURE|ANESTHE/ACUPUNC
0323|ANCILLARY SERVICES|RADIOLOGY - DIAGNOSTIC|ARTERIOGRAPHY|DX X-RAY/ARTER
0522|ANCILLARY SERVICES|FREE-STANDING CLINIC|HOME VISIT BY RHC/FQHC PRACTITIONER|RHC/FQHC/HOME
0189|ACCOMMODATION CODES|LEAVE OF ABSENCE|OTHER LEAVE OF ABSENCE|LOA/OTHER
0434|ANCILLARY SERVICES|OCCUPATIONAL THERAPY|EVALUATION OR RE-EVALUATION|OCCUP THERP/EVAL
0543|ANCILLARY SERVICES|AMBULANCE|HEART MOBILE|AMBUL/HEARTMOBL
0802|ANCILLARY SERVICES|INPATIENT RENAL DIALYSIS|INPATIENT PERITONEAL (NON-CAPD)|DIALY/INPT/PER
0441|ANCILLARY SERVICES|SPEECH-LANGUAGE PATHOLOGY|VISIT CHARGE|SPEECH PATH/VISIT
0276|ANCILLARY SERVICES|MEDICAL/SURGICAL SUPPLIES AND DEVICES|INTRAOCULAR LENS|INTR OC LENS
0289|ANCILLARY SERVICES|ONCOLOGY|OTHER ONCOLOGY|ONCOLOGY/OTHER
0924|ANCILLARY SERVICES|OTHER DIAGNOSTIC SERVICES|ALLERGY TEST|ALLERGY TEST
0199|ACCOMMODATION CODES|SUBACUTE CARE|OTHER SUBACUTE CARE|SUBACUTE/OTHER
0570|ANCILLARY SERVICES|HOME HEALTH-HOME HEALTH AIDE|GENERAL CLASSIFICATION|AIDE/HOME HEALTH
0831|ANCILLARY SERVICES|PERITONEAL DIALYSIS - OUTPATIENT OR HOME|PERITONEAL/COMPOSITE OR OTHER RATE|PERTNL/COMPOSITE
0194|ACCOMMODATION CODES|SUBACUTE CARE|SUBACUTE CARE - LEVEL IV|SUBACUTE/LEVEL IV
0132|ACCOMMODATION CODES|ROOM & BOARD - SEMI-PRIVATE - THREE AND FOUR BEDS (MEDICAL OR GENERAL)|OB|OB/3&4BED
0482|ANCILLARY SERVICES|CARDIOLOGY|STRESS TEST|STRESS TEST
0908|ANCILLARY SERVICES|BEHAVIOR HEALTH TREATMENTS/SERVICES (ALSO SEE 091X, AN EXTENSION OF 090X)|RESERVED FOR NATIONAL USE|
0271|ANCILLARY SERVICES|MEDICAL/SURGICAL SUPPLIES AND DEVICES|NONSTERILE SUPPLY|NONSTER SUPPLY
0314|ANCILLARY SERVICES|LABORATORY PATHOLOGICAL|BIOPSY|PATHOL/BIOPSY
0977|ANCILLARY SERVICES|PROFESSIONAL FEES - EXTENSION OF 096X|PHYSICAL THERAPY|PRO FEE/PHYSI
0770|ANCILLARY SERVICES|PREVENTATIVE CARE SERVICES|GENERAL CLASSIFICATION|PREVENT CARE SVS
0520|ANCILLARY SERVICES|FREE-STANDING CLINIC|GENERAL CLASSIFICATION|FREESTAND CLINIC
0229|ANCILLARY SERVICES|SPECIAL CHARGES|OTHER SPECIAL CHARGES|OTHER SPEC CHG
0324|ANCILLARY SERVICES|RADIOLOGY - DIAGNOSTIC|CHEST X-RAY|DX X-RAY/CHEST
0516|ANCILLARY SERVICES|CLINIC|URGENT CARE CLINIC|URGENT CLINIC
0659|ANCILLARY SERVICES|HOSPICE SERVICES|OTHER HOSPICE|HOSPICE/OTHER
0952|ANCILLARY SERVICES|OTHER THERAPEUTIC SERVICES-EXTENSION OF 094X|KINESIOTHERAPY|KINESIOTHERAPY
0257|ANCILLARY SERVICES|PHARMACY|NONPRESCRIPTION|DRUGS/NONPSCRPT
0381|ANCILLARY SERVICES|BLOOD|PACKED RED CELLS|BLOOD/PKD RED
0386|ANCILLARY SERVICES|BLOOD|OTHER COMPONENTS|BLOOD/COMPONENTS
0392|ANCILLARY SERVICES|BLOOD AND BLOOD  COMPONENT ADMINISTRATION, PROCESSING AND STORAGE|PROCESSSING AND STORAGE|BLOOD/STORAGE
0481|ANCILLARY SERVICES|CARDIOLOGY|CARDIAC CATH LAB|CARDIAC CATH LAB
0517|ANCILLARY SERVICES|CLINIC|FAMILY PRACTICE CLINIC|FAMILY CLINIC
0158|ACCOMMODATION CODES|ROOM & BOARD WARD (MEDICAL OR GENERAL)|REHABILITATION|REHAB/WARD
0590|ANCILLARY SERVICES|HOME HEALTH -UNITS OF SERVICE|GENERAL CLASSIFICATION|UNIT/HOME HEALTH
0182|ACCOMMODATION CODES|LEAVE OF ABSENCE|LEAVE OF ABSENCE PATIENT CONVENIENCE|LOA/PT CONV
0989|ANCILLARY SERVICES|PROFESSIONAL FEES - EXTENSION OF 096X & 097X|PRIVATE DUTY NURSE|FEE/PVT NURSE
0618|ANCILLARY SERVICES|MAGNETIC RESONANCE TECHNOLOGY (MRT)|MRA - OTHER|MRA - OTHER
0380|ANCILLARY SERVICES|BLOOD|GENERAL CLASSIFICATION|BLOOD
0844|ANCILLARY SERVICES|CONTINUOUS AMBULATORY PERITONEAL DIALYSIS (CAPD) - OUTPATIENT OR HOME|MAINTANENCE 100%|CAPD/HOME/100%
0113|ACCOMMODATION CODES|ROOM & BOARD - PRIVATE (MEDICAL OR GENERAL)|PEDIATRIC|PEDS/PVT
0514|ANCILLARY SERVICES|CLINIC|OB-GYN CLINIC|OB-GYN CLINIC
0150|ACCOMMODATION CODES|ROOM & BOARD WARD (MEDICAL OR GENERAL)|GENERAL CLASSIFICATION|ROOM-BOARD/WARD
0261|ANCILLARY SERVICES|IV THERAPY|INFUSION PUMP|IV THER/INFSN PUMP
0290|ANCILLARY SERVICES|DURABLE MEDICAL EQUIPMENT (DME) (OTHER THAN RENAL)|GENERAL CLASSIFICATION|MED EQUIP/DURAB
0221|ANCILLARY SERVICES|SPECIAL CHARGES|ADMISSION CHARGE|ADMIT CHARGE
0614|ANCILLARY SERVICES|MAGNETIC RESONANCE TECHNOLOGY (MRT)|MRI - OTHER|MRI - OTHER
